Location,lng,lat,sum_vehicle
RICHMOND ST AT SHERBOURNE ST (PX 256),-79.369148,43.653378,10522
RICHMOND ST AT SIMCOE ST,-79.38713775,43.64990642,4361
RICHMOND ST AT SPADINA AVE (PX 275),-79.395969,43.647807,25524
RICHMOND ST AT UNIVERSITY AVE (PX 79),-79.38629099,43.650087,43061
RICHMOND ST AT VICTORIA ST (PX 27),-79.377759,43.651963,8058
RICHMOND ST AT YONGE ST (PX 33),-79.378984,43.651692,21136
RICHMOND ST AT YORK ST (PX 74),-79.38465,43.65044,9758
RIVER ST AT SHUTER ST (PX 175),-79.357457,43.659524,1623
RUSSELL ST AT SPADINA CRES (WEST LEG),-79.40162581,43.6594959,1370
SACKVILLE ST AT SHUTER ST,-79.36202616,43.65760295,2333
SCOTT ST AT THE ESPLANADE,-79.37528492,43.64636159,1251
SCOTT ST AT WELLINGTON ST,-79.3760466,43.64815472,1976
SHERBOURNE ST AT SHUTER ST (PX 319),-79.37012199,43.656162,2740
SHERBOURNE ST AT WELLESLEY ST (PX 261),-79.374683,43.667094,3729
SHUTER ST AT SUMACH ST,-79.35965995,43.65820578,2506
SHUTER ST AT VICTORIA ST (PX 1518),-79.378769,43.654321,2013
SHUTER ST AT YONGE ST (PX 35),-79.37997301,43.654062,10536
SIMCOE ST AT WELLINGTON ST (PX 264),-79.385561,43.646053,2516
SPADINA AVE AT ST ANDREWS ST (PX 1146),-79.398644,43.654403,2445
SPADINA AVE AT SULLIVAN ST (PX 1335),-79.397239,43.650902,2224
SPADINA AVE AT SUSSEX AVE (PX 1760),-79.40274,43.664656,3056
SPADINA AVE AT WILLCOCKS ST (PX 1761),-79.40141,43.661302,2715
SPADINA CR AT 20M S OF RUSSELL ST (PX 2117),-79.39992,43.659802,1070
ST GEORGE ST AT 120M N OF COLLEGE ST (PX 1999),-79.39661,43.6597,2521
ST GEORGE ST AT WILLCOCKS ST (PX 837),-79.39762201,43.662084,1779
ST JOSEPH ST AT YONGE ST,-79.38505175,43.66606366,2257
THE ESPLANADE AT YONGE ST (PX 2345),-79.376503,43.645783,6835
UNIVERSITY AVE AT WELLINGTON ST (PX 76),-79.384099,43.646383,30633
WELLESLEY ST AT YONGE ST (PX 39),-79.38459499,43.664937,8413
WELLINGTON ST AT YONGE ST (PX 30),-79.37737,43.647846,4605
WELLINGTON ST AT YORK ST (PX 71),-79.383029,43.646605,9659
YONGE ST AT 85M N OF SHUTER (PX 1802),-79.38027999,43.65482,1585
